id,publicaddress,caseNumber,precinct,reportedDate,reportedDateTime,offense,description,centerLong,centerLat,centerX,centerY,neighborhood
9660,0022XX 4TH ST NE,MP2023230949,2,2023/08/28 00:00:00+00,2023/08/28 18:25:00+00,AUTOTH,AUTOMOBILE THEFT,-93.26158,45.01054,-10381831.09,5623181.289,Holland
9661,0055XX CHICAGO AVE,MP2023230978,3,2023/08/28 00:00:00+00,2023/08/28 18:09:00+00,AUTOTH,AUTOMOBILE THEFT,-93.26268,44.90249,-10381954.03,5606184.122,Diamond Lake
9662,0028XX PLEASANT AVE,MP2023231002,5,2023/08/28 00:00:00+00,2023/08/28 17:25:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28299,44.95134,-10384214.95,5613864.911,Whittier
9668,0018XX BRYANT AVE N,MP2023231161,4,2023/08/28 00:00:00+00,2023/08/28 20:04:00+00,AUTOTH,AUTOMOBILE THEFT,-93.29105,44.99827,-10385112.11,5621249.746,Near - North
9672,0034XX 31ST AVE S,MP2023231258,3,2023/08/28 00:00:00+00,2023/08/28 21:36:00+00,AUTOTH,AUTOMOBILE THEFT,-93.22708,44.94045,-10377991.27,5612152.049,Howe
9676,0024XX CLINTON AVE,MP2023231369,5,2023/08/29 00:00:00+00,2023/08/29 00:14:00+00,AUTOTH,AUTOMOBILE THEFT,-93.27149,44.95826,-10382934.71,5614953.22,Whittier
9677,0042XX PORTLAND AVE,MP2023231374,3,2023/08/29 00:00:00+00,2023/08/29 00:23:00+00,AUTOTH,AUTOMOBILE THEFT,-93.26756,44.92604,-10382497.62,5609885.761,Regina
9681,0001XX 22ND ST W,MP2023231498,5,2023/08/29 00:00:00+00,2023/08/29 09:53:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28043,44.9609,-10383930.13,5615368.573,Whittier
9682,0025XX COLFAX AVE S,MP2023231507,5,2023/08/29 00:00:00+00,2023/08/29 10:31:00+00,AUTOTH,AUTOMOBILE THEFT,-93.29186,44.95643,-10385201.99,5614665.645,Lowry Hill East
9683,0015XX LAUREL AVE,MP2023231509,1,2023/08/29 00:00:00+00,2023/08/29 08:56:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28489,44.97399,-10384426.0,5617428.351,Loring Park
9684,0001XX ORLIN AVE SE,MP2023231513,2,2023/08/28 00:00:00+00,2023/08/28 23:00:00+00,AUTOTH,AUTOMOBILE THEFT,-93.21213,44.96695,-10376326.72,5616319.646,Prospect Park - East River Road
9685,0007XX 44TH ST W,MP2023231519,5,2023/08/29 00:00:00+00,2023/08/29 10:18:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28895,44.92319,-10384878.59,5609436.789,East Harriet
9686,0009XX 15TH AVE SE,MP2023231523,2,2023/08/28 00:00:00+00,2023/08/28 19:00:00+00,AUTOTH,AUTOMOBILE THEFT,-93.23038,44.98597,-10378357.98,5619312.901,Como
9715,6TH ST SE / 2ND AVE SE,MP2023323449,2,2023/12/05 00:00:00+00,2023/12/05 13:00:00+00,AUTOTH,AUTOMOBILE THEFT,-93.25111,44.98919,-10380666.5,5619819.426,Marcy Holmes
9722,0004XX PIERCE ST NE,MP2023323558,2,2023/12/05 00:00:00+00,2023/12/05 15:11:00+00,AUTOTH,AUTOMOBILE THEFT,-93.24097,44.9942,-10379537.37,5620607.745,Beltrami
9724,0021XX 11TH AVE S,MP2023323615,3,2023/12/05 00:00:00+00,2023/12/05 15:32:00+00,AUTOTH,AUTOMOBILE THEFT,-93.2582,44.96137,-10381455.14,5615441.673,Ventura Village
9725,0006XX 12TH AVE SE,MP2023323617,2,2023/12/05 00:00:00+00,2023/12/05 18:14:00+00,AUTOTH,AUTOMOBILE THEFT,-93.23659,44.98405,-10379049.19,5619010.059,Marcy Holmes
9727,0038XX 32ND ST W,MP2023323682,5,2023/12/05 00:00:00+00,2023/12/05 16:50:00+00,AUTOTH,AUTOMOBILE THEFT,-93.32636,44.94503,-10389042.57,5612872.453,West Maka Ska
9733,0025XX PLEASANT AVE,MP2023324000,5,2023/12/05 00:00:00+00,2023/12/05 23:57:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28295,44.95643,-10384210.66,5614664.889,Whittier
9734,0029XX JAMES AVE N,MP2023324078,4,2023/12/06 00:00:00+00,2023/12/06 03:05:00+00,AUTOTH,AUTOMOBILE THEFT,-93.30064,45.01051,-10386179.87,5623176.464,Jordan
9735,0017XX NEWTON AVE N,MP2023324135,4,2023/12/06 00:00:00+00,2023/12/06 07:47:00+00,AUTOTH,AUTOMOBILE THEFT,-93.3057,44.99688,-10386742.5,5621029.813,Willard - Hay
9737,0021XX 10TH AVE S,MP2023324148,3,2023/12/06 00:00:00+00,2023/12/06 08:05:00+00,AUTOTH,AUTOMOBILE THEFT,-93.25965,44.96137,-10381617.19,5615441.58,Ventura Village
9738,0006XX FRANKLIN AVE E,MP2023324150,3,2023/12/05 00:00:00+00,2023/12/05 22:00:00+00,AUTOTH,AUTOMOBILE THEFT,-93.26703,44.96269,-10382438.2,5615649.572,Ventura Village
9740,0008XX 9TH AVE SE,MP2023324170,2,2023/12/06 00:00:00+00,2023/12/06 08:43:00+00,AUTOTH,AUTOMOBILE THEFT,-93.23924,44.98766,-10379344.43,5619578.775,Marcy Holmes
9741,0012XX JAMES AVE N,MP2023324171,4,2023/12/06 00:00:00+00,2023/12/06 10:01:00+00,AUTOTH,AUTOMOBILE THEFT,-93.3007,44.99024,-10386186.65,5619984.391,Near - North
9743,0014XX NEWTON AVE N,MP2023324236,4,2023/12/06 00:00:00+00,2023/12/06 10:16:00+00,AUTOTH,AUTOMOBILE THEFT,-93.30571,44.99361,-10386743.88,5620515.724,Willard - Hay
9744,0009XX UNIVERSITY AVE SE,MP2023324247,2,2023/12/06 00:00:00+00,2023/12/06 10:56:00+00,AUTOTH,AUTOMOBILE THEFT,-93.24259,44.98191,-10379717.46,5618674.34,Marcy Holmes
9745,0005XX 6TH ST SE,MP2023324249,2,2023/12/06 00:00:00+00,2023/12/06 11:56:00+00,AUTOTH,AUTOMOBILE THEFT,-93.24602,44.98716,-10380099.72,5619500.45,Marcy Holmes
